Entities,neg,pos,neu,Count
Ben Winsor,0,0,1,3
Bill Cosby,1,0,0,3
Central Asia,2,0,1,3
Chabahar,1,0,0,3
chief,0,0,3,3
Chile,2,0,0,3
Columbia Law School,0,0,1,3
commanders,1,0,2,3
Crimea,2,0,1,3
David Mercer,1,0,1,3
EEBC,1,0,0,3
Euphrates,0,0,2,3
European Commission,1,0,1,3
Fatih al-Salaam,1,0,0,3
four decades,2,0,0,3
Gaza Strip,2,0,0,3
Gulf Cooperation Council,1,0,1,3
Gulf nation,2,0,0,3
Heiko Wimmen,1,0,0,3
Hussein,1,0,0,3
Iraqis,1,0,0,3
Islamic State of Iraq and Levant,0,0,1,3
Jaffa,0,0,1,3
Jewish state,0,0,1,3
Jinotega,1,0,0,3
Joseph Kabila,2,0,0,3
Julie Goldscheid,1,0,0,3
Kilauea Volcano,0,0,1,3
Kimberly Sofia Gonzalez,1,0,0,3
King Abdullah,3,0,0,3
Kremlin,1,0,2,3
Kristine Beckerle,1,0,0,3
Kurdistan Regional Government,0,0,1,3
La Malbaie,2,0,0,3
Lauren Carasik,1,0,1,3
Leonel Dubon,1,0,0,3
Liwa al-Baqir,0,0,1,3
"London, England",0,0,1,3
Maha el-Wadia,0,0,1,3
Manhattan,1,0,1,3
Mereana Hond,1,0,1,3
"Middle East , Saudi Arabia",1,0,0,3
Musun Kim,1,0,0,3
Nanyang Technological University,1,0,0,3
Nigeria,1,0,0,3
Organisation of African Unity,1,0,0,3
Panama,0,0,1,3
Paraguay,1,0,0,3
PM,3,0,0,3
presidents,3,0,0,3
Ramallah,0,0,2,3
Red Cross,2,0,0,3
Rome Statute,0,0,2,3
Sadiq Khan,0,0,1,3
SDF,1,0,0,3
seven-year,2,0,0,3
Shah Hussain,1,0,0,3
six years,1,0,2,3
South,0,0,1,3
Steffen Nikolaj Boddin,1,0,0,3
Sudanese,1,0,1,3
Supreme Court,2,0,0,3
The Stream,0,0,2,3
Trudeau,1,0,0,3
two-month,1,0,2,3
two-year,1,0,2,3
UAE,1,0,0,3
Uganda,1,0,1,3
Uighurs,0,0,1,3
United Arab Emirate,0,0,1,3
Uruguay,1,0,2,3
Western allies,2,0,0,3
World Health Organization,2,0,0,3
Yahya Assiri,0,0,1,3
Yemenis,1,0,2,3
Zeina Khodr,0,0,1,3
envoy,0,2,0,2
Guatemalans,0,2,0,2
Paya Lebar Airbase,0,2,0,2
"Addis Ababa, Ethiopia",0,1,0,2
Aina Khan,0,1,0,2
Al Jazeera Trump,0,1,0,2
Ala'a Abo Alrob,0,1,0,2
Alan Fisher,0,1,0,2
Alexander Zemlianichenko,1,1,0,2
Alfredo Stroessner,0,1,0,2
Algeria,0,1,0,2
al-Rusafa,0,1,0,2
America First,0,1,1,2
Andrew Brunson,0,1,0,2
Aqeela Tavakoli,0,1,0,2
Asia Pacific,0,1,1,2
Bangladesh,0,1,0,2
Benjamin Netanyahu,0,1,0,2
Berlin,0,1,1,2
Bill C,0,1,0,2
bishops,0,1,1,2
Brazil,0,1,0,2
Burke,0,1,0,2
cabinet,1,1,0,2
Cairo,0,1,1,2
Catholic,0,1,1,2
Central Asian,0,1,1,2
chancellor,0,1,1,2
CNN,0,1,1,2
Coalition Against Workplace Sexual Violence,0,1,0,2
EFE,1,1,0,2
Egyptian,0,1,0,2
elders,1,1,0,2
Elizabeth Puranam,1,1,0,2
"Escuintla, Guatemala",0,1,1,2
Felix Tshisekedi,0,1,0,2
German Federal Government,1,1,0,2
Gulsun Karamustafa,0,1,0,2
House of Commons,0,1,0,2
Ibrahim Kalin,0,1,0,2
Indonesia,0,1,1,2
interior ministry,1,1,0,2
Iraqi government,0,1,0,2
Israeli military,0,1,0,2
Italian,0,1,1,2
January,1,1,0,2
Jeff Cohen,0,1,0,2
Jesco Denzel,0,1,1,2
Joana Hadjithomas,0,1,0,2
John Foster Dulles,0,1,0,2
Jose Cabezas,0,1,0,2
Khalid al-Mousily,1,1,0,2
Khalil Joreige,0,1,0,2
Kim Il-sung,0,1,0,2
Kinshasa,1,1,0,2
Libya,0,1,1,2
Mamnoon Hussain,0,1,1,2
Mattia Tomba,0,1,1,2
Mike Pompeo,0,1,1,2
Narendra Modi,0,1,1,2
National Security Adviser,0,1,1,2
New York Times building,0,1,0,2
Non-Proliferation Treaty,0,1,0,2
Ottawa,0,1,1,2
Palestinian authorities,0,1,0,2
Parachinar,0,1,0,2
Pasteur Institute of Madagascar,0,1,0,2
pope,1,1,0,2
Presiding judge,1,1,0,2
Quetta,0,1,0,2
Rafeah,0,1,0,2
Rokni Haerizadeh,0,1,0,2
Rwanda,0,1,1,2
Secretary of State,0,1,1,2
Sinem Koseoglu,0,1,0,2
