Entities,neg,pos,neu,Count
Nangarhar,1,0,0,2
National Assembly,0,0,1,2
National Coalition,1,0,0,2
National Wisdom Movement,0,1,0,2
New Economic Policy,0,1,0,2
North,0,1,0,2
November,0,0,2,2
الكوكي,0,2,0,2
Paris,0,1,0,2
Paul Ryan,0,1,0,2
police chief,2,0,0,2
President Putin,0,1,0,2
President Sheikh,0,0,2,2
professor,0,1,1,2
Professor,0,1,1,2
Qandil Erdogan,0,0,1,2
Qasr al-Hukm,0,0,1,2
Quds Force,1,0,0,2
Ramadin,2,0,0,2
Rami Abdel Rahman,1,0,0,2
Rami Abdulrahman,1,0,0,2
Revolutionary Guard,0,0,1,2
Rome,0,1,0,2
Ruhollah Khomeini,2,0,0,2
Russian military,0,0,1,2
Russians,0,0,2,2
Sacha Myers,1,0,0,2
Salman bin Abdulaziz,0,1,1,2
Sawsan Al Shaer,0,1,0,2
Secretary for Defense,0,0,2,2
Sentosa,1,0,0,2
September,0,0,2,2
seven years,0,1,0,2
Shiha,0,0,2,2
Sisi,0,1,0,2
Somalis,1,0,0,2
Soviet Union,1,0,0,2
speaker,0,1,1,2
Speaker of the House,0,1,1,2
special envoy,0,1,1,2
Staffan de Mistura,0,1,0,2
Stryker,1,0,0,2
Sudanese,0,1,0,2
Suhaim bin Hamad bin Abdullah al-Thani,0,0,1,2
Sunni,0,1,1,2
Supreme Court of Pakistan,0,1,0,2
Supreme Leader,2,0,0,2
Supreme Leader Ayatollah,1,0,1,2
Taha Hussain,0,1,0,2
Taha Hussein,0,1,0,2
Tariq Ahmad,1,0,0,2
Telegram,1,0,0,2
The Financial Times,0,1,0,2
Theresa May,0,0,1,2
Tunisia,0,0,2,2
Turkish-Islamic Cultural Associations,0,0,2,2
two-month,1,1,0,2
two-year,0,1,1,2
Ukraine,1,1,0,2
US military,1,1,0,2
US sanctions,2,0,0,2
US Treasury,0,0,2,2
Vienna,1,0,1,2
WhatsApp,1,0,0,2
Whatsapp,1,0,0,2
Wilbur Ross,0,1,0,2
YPG,0,0,1,2
Abbas Araghchi,0,0,1,1
Abbottabad,0,0,1,1
ABC Studios,1,0,0,1
Abd Al Rahman Al-Milad,0,0,1,1
Abd-Rabbu Mansour Hadi,0,1,0,1
Abdul Aziz Ibrahim,0,0,1,1
Abha,1,0,0,1
Abijeet Nath,0,0,1,1
Abu Dhabi Media Company,0,0,1,1
Abu Duhur,0,0,1,1
Abu Fahr Mahmoud Shaker,0,1,0,1
Abu Hafs al-Mauritani,1,0,0,1
Abu-Qarin,0,0,1,1
Actor,0,0,1,1
Actress,0,0,1,1
actress,0,1,0,1
Addis Ababa,1,0,0,1
Afghan Army,0,0,1,1
Afghan commandos,0,1,0,1
Africa,1,0,0,1
Africa Command,0,0,1,1
African,1,0,0,1
African Union,0,0,1,1
"Afrin, Jarablus",1,0,0,1
Agence France Press,0,0,1,1
Ahl al-Bayt,1,0,0,1
Ahmad Oumar Al-Dabbashi,1,0,0,1
Ahwaz,0,1,0,1
Air China,0,0,1,1
Air China Boeing 747,0,0,1,1
Air Force One,1,0,0,1
Airforce Intelligence,0,0,1,1
"Ajaccio, Corsica",1,0,0,1
Akhtar Mohammad Ibrahimi,0,0,1,1
Al Faw,0,0,1,1
