Entities,neg,pos,neu,Count
Hezbollah,6,2,5,37
"Washington, DC.",2,3,2,37
Ivanka Trump,2,4,1,37
Robert Spencer,1,0,1,37
Paul Nehlen,0,1,0,37
Austria,5,5,4,36
Paul Dacre,0,1,1,36
Huawei,1,2,3,36
Former Yugoslav Republic of Macedonia,0,1,0,36
Ami Vitale,0,0,2,36
President Clinton,1,0,1,36
Africa,6,6,6,35
Chancellor,8,9,18,35
Denzel Darku,1,0,0,35
ambassador,4,10,21,35
Hamas,4,2,1,35
Kurdish,4,2,7,35
"January 19, 2017",0,1,3,35
Pete Souza,2,1,0,35
Hollywood,6,11,8,34
Jewish,10,8,4,34
New York Times,6,17,7,34
State Department,7,4,9,34
GOP,5,10,5,34
Lebanon,7,1,6,34
Palestinian,7,6,3,34
Trump Mark Sanford,1,0,0,34
Priyanka Chopra,1,0,1,34
Houston,2,0,1,34
"Friday, 8 June 2018",5,2,24,34
King,6,16,11,33
Silicon Valley,7,4,3,33
UN,4,2,8,33
Chicago,4,5,7,33
WikiLeaks,3,3,4,33
Julian Assange,1,3,5,33
Emily McDowell,0,0,1,33
Arizona,8,2,5,32
YouTube,4,4,11,32
Breitbart London,7,1,12,32
Senegal,3,0,3,32
Boko Haram,0,0,3,32
Apple,2,10,5,31
February,9,3,19,31
Wall Street,5,4,3,31
Virginia,8,3,4,31
Alice Johnson Thanks Jesus Christ,0,1,0,31
Democratic National Committee,1,5,5,31
Kellyanne Conway,1,3,2,31
Robert Mueller,2,10,2,31
James Clapper,1,1,1,31
South Carolina,2,8,11,31
Berlin,5,4,9,30
miércoles,3,0,17,30
آمریکا,1,0,6,30
three years,9,5,10,30
United Arab Emirates,2,0,10,30
Benjamin Netanyahu,3,2,7,30
Federal Emergency Management Agency,0,3,0,30
Director,8,12,10,30
eight years,5,6,10,30
Robert De Niro,0,1,1,30
Michigan,4,4,7,30
Virgil,0,0,3,30
20-Jan-17,7,17,6,30
Organización de Estados,0,0,2,30
Qatari,3,0,2,30
Khadija,0,0,1,30
Akilov Rakhmat Akilov,1,0,0,29
Andy Spade,4,0,0,29
cabinet,2,4,12,29
Ethiopia,1,1,0,29
five years,9,3,12,29
Nicolás Maduro,0,1,3,29
کره شمالی,0,0,1,29
Palestinians,5,5,6,29
West,6,8,4,29
Spenser Rapone,0,0,1,29
NATO,6,8,8,29
Angola,0,1,0,29
Gloria Williams,2,0,1,29
Jammeh,1,0,0,29
Mick Mulvaney,3,1,0,29
Martese Edwards,0,1,0,29
Canadian,6,5,4,28
حزيران 2018,7,19,1,28
Parliament,3,4,4,28
professor,3,10,15,28
Rudy Giuliani,2,5,6,28
UAE,1,2,5,28
"Washington, DC",11,3,7,28
NBC,2,7,7,28
Samantha Bee,6,1,0,28
Gretchen Carlson,0,1,1,28
Fox,3,5,3,28
August,5,5,8,28
parliament,6,2,3,28
Abdulkadir Masharipov,0,0,1,28
Joseph I. Lieberman,0,2,0,28
Davos,4,5,7,28
"Wed January 18, 2017",2,1,25,28
Derna,3,0,1,28
Argentina,2,0,4,27
Foreign Minister,1,12,14,27
Macron,4,1,3,27
Democrat,6,12,7,27
Gov.,5,12,10,27
Michael Avenatti,4,0,1,27
Senator McCain,0,0,1,27
Harvey Weinstein,4,4,0,27
Tyrone Fleming,0,0,1,27
Joel B. Pollak,1,3,2,27
Castro regime,0,0,1,27
17-Jan-17,6,10,11,27
President Bush,4,0,2,27
Emilio Guzmán Bustillos,0,0,1,27
NFL,3,5,2,27
Peter Ghassemi,1,0,0,27
"Thursday, 7 June 2018",5,4,16,27
Brussels,2,3,8,26
DNA,4,2,4,26
Mayor,7,4,15,26
MPs,6,12,8,26
